GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA16_5051: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","v_CA16_5096: Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data","v_CA16_5078: University certificate, diploma or degree at bachelor level or above","v_CA16_5123: University certificate, diploma or degree at bachelor level or above"
4620001.00,CT,Montréal,0.46188,2638,1452,1328,2285,1590,330,295
4620002.00,CT,Montréal,0.38927,3516,1902,1762,2870,1955,335,275
4620003.00,CT,Montréal,0.7401,6373,3103,2937,5245,3555,770,700
4620004.00,CT,Montréal,0.44828,3176,1704,1603,2770,1920,405,360
4620005.00,CT,Montréal,0.56464,3060,1749,1593,2620,1810,385,345
4620006.00,CT,Montréal,0.64815,4467,2149,1993,3515,2420,530,450
4620007.00,CT,Montréal,1.09059,5682,2946,2809,4910,3270,1015,845
4620008.00,CT,Montréal,0.6229,3016,1586,1465,2660,1875,530,475
4620009.00,CT,Montréal,4.26975,3470,1770,1640,3030,2120,405,360
4620010.00,CT,Montréal,0.92115,1479,754,701,1220,880,240,205
4620011.00,CT,Montréal,1.24911,6622,2898,2826,4880,3325,1445,1260
4620012.01,CT,Montréal,0.23776,2502,1370,1315,2150,1325,275,250
4620012.02,CT,Montréal,0.39639,4034,2175,2016,3330,2250,665,575
4620013.00,CT,Montréal,1.08415,5166,2904,2704,4335,2950,1005,835
4620014.01,CT,Montréal,0.90072,7545,4302,4090,6470,4895,2185,2000
4620014.02,CT,Montréal,0.87177,0,4,1,x,x,x,x
4620015.00,CT,Montréal,0.37692,4103,2339,2206,3305,2620,915,875
4620016.00,CT,Montréal,0.51911,2539,1315,1174,1890,1505,505,465
4620017.00,CT,Montréal,0.22436,2141,1237,1187,1775,1340,480,440
4620018.00,CT,Montréal,0.36776,2004,1219,1136,1695,1315,495,440
4620019.00,CT,Montréal,0.33256,2340,1434,1296,2120,1490,560,520
4620021.00,CT,Montréal,0.44307,2891,1676,1433,2475,1775,490,465
4620022.00,CT,Montréal,0.17097,1550,870,798,1230,940,340,325
4620023.00,CT,Montréal,0.3583,1282,719,686,1175,910,315,280
4620024.00,CT,Montréal,0.2761,2647,1509,1446,2430,1765,680,605
4620025.00,CT,Montréal,0.22328,3016,1650,1511,2475,1975,710,655
4620026.00,CT,Montréal,0.17478,2581,1589,1498,2245,1735,675,605
4620027.00,CT,Montréal,0.09496,1650,982,923,1520,1130,340,315
4620028.00,CT,Montréal,0.1577,2077,1218,1152,1875,1495,640,610
4620029.00,CT,Montréal,0.40146,3679,2096,2003,3100,2340,990,885
4620030.00,CT,Montréal,0.30173,3131,1957,1798,2775,2025,905,790
4620031.00,CT,Montréal,0.25702,2659,1636,1516,2320,1785,890,800
4620032.00,CT,Montréal,0.12332,1609,1040,967,1400,1140,465,415
4620033.00,CT,Montréal,0.15341,1735,1044,968,1565,1135,450,380
4620034.00,CT,Montréal,0.21363,2559,1458,1354,2365,1730,595,525
4620035.00,CT,Montréal,0.18145,2002,1203,1124,1735,1345,635,550
4620036.00,CT,Montréal,0.18566,2074,1310,1195,1840,1400,710,640
4620037.00,CT,Montréal,0.50573,3337,2196,2118,3030,1950,870,760
4620038.00,CT,Montréal,0.21045,1917,1083,983,1700,1245,530,490
4620039.00,CT,Montréal,0.47657,2366,1283,1185,1865,1455,600,545
4620040.00,CT,Montréal,2.22413,0,0,0,x,x,x,x
4620041.00,CT,Montréal,0.25928,1680,1130,993,1540,1180,565,480
4620042.00,CT,Montréal,0.10259,944,678,604,900,680,385,320
4620043.00,CT,Montréal,0.35372,1015,664,562,810,660,390,365
4620044.00,CT,Montréal,0.13633,2053,1350,1189,1890,1435,735,670
4620045.00,CT,Montréal,0.11751,1400,1053,900,1300,930,345,300
4620046.00,CT,Montréal,0.15899,1995,1358,1202,1840,1510,730,670
4620047.00,CT,Montréal,0.11852,742,400,386,675,535,265,230
4620048.00,CT,Montréal,0.14027,2214,1330,1218,1995,1625,935,865
4620049.00,CT,Montréal,0.16419,1312,987,818,1230,845,540,460
4620050.00,CT,Montréal,0.07059,1308,768,693,1015,770,445,380
4620051.00,CT,Montréal,0.21395,1463,960,823,1285,945,665,575
4620052.00,CT,Montréal,0.13925,1959,1218,1105,1695,1125,670,535
4620053.00,CT,Montréal,0.10786,1088,903,747,1070,710,490,405
4620054.00,CT,Montréal,0.15038,1406,813,685,1045,860,560,490
4620055.01,CT,Montréal,0.73192,4758,3660,2824,4205,3240,2555,2105
4620055.02,CT,Montréal,1.31423,822,531,458,705,405,445,280
4620056.00,CT,Montréal,0.28822,1552,1148,942,1415,780,585,445
4620057.00,CT,Montréal,0.14567,1617,870,731,1035,710,500,430
4620058.00,CT,Montréal,0.1513,1123,920,754,995,690,485,435
4620059.00,CT,Montréal,0.20281,1384,1011,831,1370,945,780,590
4620060.00,CT,Montréal,0.0914,1246,784,584,1125,470,75,40
4620061.00,CT,Montréal,0.21697,699,496,396,665,505,385,340
4620062.00,CT,Montréal,0.82871,2492,2596,1510,2430,1600,1505,1195
4620063.00,CT,Montréal,0.36348,1134,898,699,885,560,500,405
4620064.00,CT,Montréal,0.24016,1763,1488,1024,1750,945,960,695
4620065.01,CT,Montréal,0.13685,6883,4887,4223,6460,3970,3665,2845
4620065.02,CT,Montréal,0.14526,3642,2627,2188,3380,2145,1890,1480
4620066.01,CT,Montréal,0.22874,2939,1927,1584,2715,1720,1500,1165
4620066.02,CT,Montréal,0.18054,2213,1771,1515,2010,1220,945,735
4620067.00,CT,Montréal,0.14662,1817,862,811,1525,1060,585,510
4620068.00,CT,Montréal,0.16091,2053,705,668,1390,880,160,130
4620069.01,CT,Montréal,0.43518,3959,2207,1973,3265,2505,2240,1960
4620069.02,CT,Montréal,0.25935,1469,1155,911,1320,1170,800,765
4620070.01,CT,Montréal,0.26222,2002,1672,1290,1890,1630,1280,1150
4620070.02,CT,Montréal,0.35684,3334,2334,2034,2855,2495,1840,1745
4620071.00,CT,Montréal,0.45052,0,0,0,x,x,x,x
4620072.00,CT,Montréal,2.58434,3585,1933,1791,2915,2210,865,820
4620073.00,CT,Montréal,0.33001,1848,1238,1115,1625,1125,615,520
4620074.00,CT,Montréal,0.40053,3610,1868,1694,3050,2350,975,930
4620075.00,CT,Montréal,0.30918,2797,1504,1427,2340,1690,800,725
4620076.00,CT,Montréal,0.36891,2989,1768,1577,2540,1900,985,855
4620077.00,CT,Montréal,0.41785,2967,1468,1373,2355,1720,900,780
4620078.00,CT,Montréal,0.37255,4013,2199,2048,3320,2285,1490,1230
4620079.00,CT,Montréal,0.59593,4599,2780,2567,4010,3050,1780,1600
4620080.00,CT,Montréal,0.09005,780,431,397,780,575,430,350
4620081.00,CT,Montréal,0.26297,3501,2272,2111,3230,2690,1590,1430
4620082.00,CT,Montréal,0.3,2226,1201,1098,1850,1360,525,485
4620083.00,CT,Montréal,0.41288,3339,1931,1771,2940,2300,1100,995
4620084.00,CT,Montréal,0.34449,2600,1451,1334,2080,1475,665,615
4620085.00,CT,Montréal,1.20008,751,397,341,575,400,115,105
4620086.00,CT,Montréal,0.52712,4068,2230,2095,3550,2405,960,840
4620087.00,CT,Montréal,0.2624,3406,1718,1581,2810,2090,590,560
4620088.00,CT,Montréal,0.33773,3542,1981,1850,2955,2000,575,520
4620089.00,CT,Montréal,0.52595,4888,2562,2412,4340,2935,1120,1005
4620090.00,CT,Montréal,0.43559,4593,2269,2149,3725,2585,985,875
4620091.00,CT,Montréal,1.06356,5,1,1,x,x,x,x
4620092.00,CT,Montréal,0.55846,6124,2937,2797,5040,3355,1045,930
4620093.00,CT,Montréal,0.73532,3242,1679,1539,2670,1975,445,410
4620094.01,CT,Montréal,1.79288,6102,3403,2960,5025,3510,1480,1315
4620094.02,CT,Montréal,1.8858,5,6,5,x,x,x,x
4620095.00,CT,Montréal,0.22158,2109,1230,1068,1780,1255,840,700
4620096.00,CT,Montréal,0.19301,2276,1234,1086,1995,1405,940,805
4620097.01,CT,Montréal,0.35263,6285,3528,3298,5315,4075,2335,2115
4620097.02,CT,Montréal,0.39373,3831,2167,1962,3105,2390,1350,1240
4620098.00,CT,Montréal,1.0373,5332,2428,2245,4375,2805,1900,1530
4620099.00,CT,Montréal,0.6915,5627,2782,2622,4655,2785,2180,1670
4620100.01,CT,Montréal,0.45796,4061,2022,1848,3300,2220,1310,1100
4620100.02,CT,Montréal,0.35548,3474,1618,1424,2775,1940,1020,885
4620101.01,CT,Montréal,0.35354,4016,1970,1823,3320,1920,1040,815
4620101.02,CT,Montréal,0.3587,3808,1711,1552,3000,2025,880,760
4620102.00,CT,Montréal,0.58982,4213,2194,1983,3505,2430,1935,1545
4620103.00,CT,Montréal,0.3331,2413,1150,1101,2060,1345,1305,970
4620104.00,CT,Montréal,0.37987,2821,1162,1129,2365,1515,1520,1180
4620105.00,CT,Montréal,0.30333,3342,1694,1550,2655,1785,1505,1185
4620106.00,CT,Montréal,0.23751,2114,968,912,1550,1030,895,665
4620107.00,CT,Montréal,0.15524,1544,883,801,1335,1015,650,580
4620108.00,CT,Montréal,0.56402,4107,1755,1629,3160,2010,1855,1435
4620109.00,CT,Montréal,0.1668,2120,1137,1055,1880,1270,905,755
4620110.00,CT,Montréal,0.24556,3836,2130,1949,3295,2370,1460,1325
4620111.00,CT,Montréal,0.74973,6542,3198,2835,5415,3510,1975,1550
4620112.01,CT,Montréal,0.63065,5346,1945,1753,4165,2820,905,770
4620112.02,CT,Montréal,0.27633,4087,1953,1855,3440,2150,1005,765
4620113.00,CT,Montréal,0.49532,5099,2341,2143,4205,2845,1870,1515
4620114.00,CT,Montréal,0.2832,1989,977,874,1710,1015,935,665
4620115.01,CT,Montréal,0.21886,2005,985,862,1655,1035,990,730
4620115.02,CT,Montréal,0.42712,5866,3921,3421,5230,3370,2990,2280
4620116.00,CT,Montréal,0.64143,6649,3351,2981,5305,3475,2330,1810
4620117.00,CT,Montréal,0.27047,4359,1614,1506,3255,2325,945,825
4620118.00,CT,Montréal,0.3038,4411,1686,1575,3635,2420,1005,855
4620119.00,CT,Montréal,0.57539,6337,2553,2393,5060,3610,1205,1085
4620120.01,CT,Mont-Royal,2.63402,5690,2913,2686,4650,3455,1970,1760
4620120.02,CT,Côte-Saint-Luc,0.19832,1029,464,450,870,430,400,260
4620121.00,CT,Montréal,0.38542,1769,718,689,1440,935,865,700
4620122.00,CT,Montréal,0.66607,6595,3366,2949,5250,3680,1495,1260
4620123.00,CT,Montréal,0.41044,6249,3559,3128,5200,3400,2465,1970
4620124.00,CT,Montréal,0.37836,5729,2899,2592,4555,3140,1720,1420
4620125.00,CT,Montréal,0.47588,6272,2866,2617,4980,2595,2175,1440
4620126.00,CT,Montréal,0.7459,2536,1116,897,1690,745,860,545
4620127.01,CT,Montréal,0.486,5554,3780,3252,5055,2825,2745,1980
4620127.02,CT,Montréal,1.32039,5,4,3,x,x,x,x
4620128.00,CT,Montréal,3.02289,3491,2006,1773,3180,1795,1950,1300
4620129.01,CT,Montréal,0.28444,3835,2933,2221,3615,1980,2255,1510
4620129.02,CT,Montréal,0.35879,3438,2982,2112,3180,1330,1775,985
4620130.00,CT,Montréal,0.15351,2946,2791,2026,2845,1295,1555,1055
4620131.00,CT,Montréal,0.10462,3137,2672,2067,2855,1425,1575,1060
4620132.00,CT,Montréal,0.26711,4865,3801,3061,4180,2510,2260,1690
4620133.00,CT,Montréal,0.14552,2508,1737,1450,2260,1375,1095,860
4620134.00,CT,Montréal,0.08604,1057,745,617,945,705,625,495
4620135.00,CT,Montréal,0.12044,1758,974,856,1510,1130,880,740
